"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2138","sendSuccess()","","Mon Dec 16 17:46:01 UTC 2024","passed","Mon Dec 16 17:46:04 UTC 2024","","com.example.allure_report.MyDemoTest","com.example.allure_report.MyDemoTest","sendSuccess"
"","103","sendFailure()","","Mon Dec 16 17:46:04 UTC 2024","failed","Mon Dec 16 17:46:04 UTC 2024","","com.example.allure_report.MyDemoTest","com.example.allure_report.MyDemoTest","sendFailure"
