"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2306","sendSuccess()","","Mon Dec 16 12:55:10 UTC 2024","passed","Mon Dec 16 12:55:12 UTC 2024","","com.example.allure_report.MyDemoTest","com.example.allure_report.MyDemoTest","sendSuccess"
"","176","sendFailure()","","Mon Dec 16 12:55:13 UTC 2024","failed","Mon Dec 16 12:55:13 UTC 2024","","com.example.allure_report.MyDemoTest","com.example.allure_report.MyDemoTest","sendFailure"
