"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","156","sendFailure()","","Mon Dec 16 12:55:11 UTC 2024","failed","Mon Dec 16 12:55:11 UTC 2024","","com.example.allure_report.MyDemoTest","com.example.allure_report.MyDemoTest","sendFailure"
"","2141","sendSuccess()","","Mon Dec 16 12:55:09 UTC 2024","passed","Mon Dec 16 12:55:11 UTC 2024","","com.example.allure_report.MyDemoTest","com.example.allure_report.MyDemoTest","sendSuccess"
