"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2135","sendSuccess()","","Mon Dec 16 17:54:17 UTC 2024","passed","Mon Dec 16 17:54:19 UTC 2024","","com.example.allure_report.MyDemoTest","com.example.allure_report.MyDemoTest","sendSuccess"
"","169","sendFailure()","","Mon Dec 16 17:54:19 UTC 2024","failed","Mon Dec 16 17:54:19 UTC 2024","","com.example.allure_report.MyDemoTest","com.example.allure_report.MyDemoTest","sendFailure"
